Symbol,Company Name,Sector,Industry
ACEL,Accel Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACNV,Accelera Innovations Inc,,
AXDX,Accelerate Diagnostics Inc,Health Care,Life Sciences Tools & Services
ATHC,Accelerated Technologies Holding Corp,,
XLRN,Acceleron Pharma Inc,Health Care,Biotechnology
ACWRF,ACCELEWARE LTD,Information Technology,Software
ACGPF,ACCELL GROUP NV HEERENVEEN SHS,,
ACN,Accenture Plc,Information Technology,IT Services
AWWC,"Access Worldwide Communications, Inc.",Industrials,Commercial Services & Supplies
LOQPF,ACCESSO TECHNOLOGY GROUP PLC SHS,,
ACCR,Access-Power Inc,,
ACCO,ACCO Brands Corporation,Industrials,Commercial Services & Supplies
ACSYF,ACCSYS TECHNOLOGIES PLC SHS NEW,,
ARAY,Accuray Incorporated,Health Care,Health Care Equipment & Supplies
ACEHF,ACE HARDWARE INDONESIA TBK PT SHS,,
ACRX,AcelRx Pharmaceuticals Inc,Health Care,Pharmaceuticals
ACER,Acer Therapeutics Inc,Health Care,Pharmaceuticals
AKAOQ,Achaogen Inc,Health Care,Biotechnology
ACHV,Achieve Life Sciences Inc,Health Care,Biotechnology
ACGJ,ACI Global Corp.,,
ACIW,ACI Worldwide Inc,Information Technology,Software
ACRS,Aclaris Therapeutics Inc,Health Care,Pharmaceuticals
ACMR,ACM Research Inc,Information Technology,Semiconductors & Semiconductor Equipment
ACMT,ACMAT CORP  -CL A,Financials,Insurance
ACMTA,ACMAT Corporation,Financials,Insurance
ACU,Acme United Corporation,Industrials,Commercial Services & Supplies
ACNB,ACNB Corporation,Financials,Banks
ACOR,Acorda Therapeutics Inc,Health Care,Biotechnology
ACFN,Acorn Energy Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ATV,"Acorn International, Inc. (ADR)",Consumer Discretionary,Internet & Direct Marketing Retail
AQSP,Acquired Sales Corp.,,
ACBM,ACRO Biomedical Co Ltd,Health Care,Health Care Providers & Services
ARUXF,ACRUX LTD SHS,,
AMCY,ACS Global Inc,,
ACSEF,ACS Motion Control Ltd.,Information Technology,"Electronic Equipment, Instruments & Components"
ACLH,ACT Clean Technologies Inc,Industrials,Commercial Services & Supplies
ACTT,Act II Global Acquisition Corp,,
ATNM,Actinium Pharmaceuticals Inc,Health Care,Biotechnology
ATRVF,ACTIVA RESOURCES AG SHS,,
AHFD,Active Health Foods Inc,Consumer Staples,Food Products
ATVI,"Activision Blizzard, Inc.",Communication Services,Entertainment
AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
GOLF,Acushnet Holdings Corp,Consumer Discretionary,Leisure Products
ACUS,"Acusphere, Inc.",Health Care,Pharmaceuticals
AELTF,ADACEL TECHNOLOGIES LIMITED SHS,,
ADAD,Adaiah Distribution Inc,,
ADAC,Adama Technologies Corp,,
ADMG,Adamant DRI Processing&Minerals Group,,
ADMS,Adamas Pharmaceuticals Inc,Health Care,Biotechnology
ADMV,Adamas Ventures Inc,,
DDNFF,ADAMERA MINERALS CORP,Materials,Metals & Mining
ADMP,Adamis Pharmaceuticals Corp,Health Care,Pharmaceuticals
ADX,Adams Diversified Equity Fund Inc,,
PEO,Adams Natural Resources Fund Inc,,
AE,Adams Resources & Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
AHCO,Adapthealth Corp,Health Care,Health Care Providers & Services
ADAP,Adaptimmune Therapeutics PLC - ADR,Health Care,Biotechnology
ADPT,Adaptive Biotechnologies Corp,Health Care,Life Sciences Tools & Services
ADTM,Adaptive Medias Inc,,
AIHLF,ADCOCK INGRAM HOLDINGS LIMITED SHS,,
ATXG,Addentax Group Corp,Industrials,Air Freight & Logistics
ADDXF,ADDEX THERAPEUTICS LTD SHS COM,,
ADUS,Addus Homecare Corporation,Health Care,Health Care Providers & Services
AEY,"ADDvantage Technologies Group, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
AHEXF,ADECCO GROUP AG ORD,,
AGRO,Adecoagro SA,Consumer Staples,Food Products
ADBCF,ADELAIDE BRIGHTON LTD SHS,,
ADPAJ,Adelphia Recovery Trust,,
IOTS,Adesto Technologies Corp,Information Technology,Semiconductors & Semiconductor Equipment
ADXDF,ADEX MINING INC,Materials,Metals & Mining
ADFJF,ADF GROUP INC,Materials,Metals & Mining
ADGS,ADGS Advisory Inc,Industrials,Professional Services
ATRX,Adhera Therapeutics Inc,Health Care,Biotechnology
ADIL,Adial Pharmaceuticals Inc,Health Care,Pharmaceuticals
ADNT,Adient PLC,Consumer Discretionary,Auto Components
ADNY,Adino Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
ADTX,ADiTx Therapeutics Inc,,
ADMQ,Adm Endeavors Inc,,
ADMT,"ADM Tronics Unlimited, Inc.",Materials,Chemicals
ADMA,ADMA Biologics Inc,Health Care,Biotechnology
ADBE,Adobe Inc,Information Technology,Software
ADOM,Adomani Inc,Consumer Discretionary,Auto Components
ADOB,Adorbs Inc,,
ASPR,"Adsouth Partners, Inc.",Communication Services,Media
